"","Account Name","Opportunity Name","Product","Stage Name","Amount_USD","Close Date Year","Close Date Month","Close Date Day","Lead Source","Forecast Category","Account Owner","Region","Fiscal Year","Fiscal Quarter","Team Name"
"0","Bryant Ranch Prepack","Bryant Ranch Prepack","Accugel","5 - Closed Won","4931","2014","10","6","Not specified","Closed","2d3569e8-9d67-4e24-878c-2ef86fa1ab5b","Northeast","2014","2014-04-01 00:00:00","EU Sales Team"
"1","Watson Laboratories Inc.","Watson Laboratories Inc.","Accruex","5 - Closed Won","17498","2014","2","1","Tradeshow","Closed","db0508ce-1877-4f4d-8a57-c6541e49a3c3","Northwest","2014","2014-01-01 00:00:00","US Sales Team"
"2","Stephen L. LaFrance Pharmacy Inc.","Stephen L. LaFrance Pharmacy Inc.","Emoltra","5 - Closed Won","18281","2011","9","10","Web","Closed","093c020a-4551-467e-95e9-b258927674e9","Northeast","2011","2011-07-01 00:00:00","EU Sales Team"
"3","Jubilant HollisterStier LLC","Jubilant HollisterStier LLC","Avenetro","5 - Closed Won","22555","2014","11","5","Tradeshow","Closed","9daee2f6-b70c-4c0d-a606-c7b5d5afec13","Southeast","2014","2014-07-01 00:00:00","EU Sales Team"
"4","Triax Pharmaceuticals LLC","Triax Pharmaceuticals LLC","Acclimite","5 - Closed Won","22944","2013","11","7","Not specified","Closed","b3330862-932e-490e-9c53-9d2fc36d8823","Northeast","2013","2013-04-01 00:00:00","US Sales Team"
"5","Vini Health & Beauty Inc","Vini Health & Beauty Inc","Avenetro","5 - Closed Won","13254","2015","11","19","Tradeshow","Closed","69233e00-dcdf-40d8-8605-5b1ae270f72b","Southeast","2015","2015-07-01 00:00:00","US Sales Team"
"6","Wyeth BioPharma","Wyeth BioPharma","Prevalax","5 - Closed Won","14815","2014","5","8","Not specified","Closed","c26a4236-07cb-4308-aa16-6341360d339e","Southeast","2014","2014-01-01 00:00:00","US Sales Team"
"7","Aptalis Pharma US Inc.","Aptalis Pharma US Inc.","Zillia","5 - Closed Won","556","2014","2","1","Tradeshow","Closed","557ac720-73d7-4d6d-93db-cd360d07069d","Northeast","2014","2014-07-01 00:00:00","US Sales Team"
"8","Lupin Pharmaceuticals Inc.","Lupin Pharmaceuticals Inc.","Avenetro","5 - Closed Won","5869","2011","4","14","Web","Closed","da47bc78-7486-42ec-91ba-77552a506aec","Southeast","2011","2011-01-01 00:00:00","US Sales Team"
"9","Teva Pharmaceuticals USA Inc","Teva Pharmaceuticals USA Inc","Avenetro","5 - Closed Won","10517","2015","2","15","Tradeshow","Closed","4b137da4-5ff2-4797-a38a-b099d904e852","Southeast","2015","2015-07-01 00:00:00","US Sales Team"
